,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
2008-05-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-27,1.0016514772791165,1.0006243676823687,0.9924854612314727,1.0113915859044218,1.0050730198863829,1.0035093519951115,1.005494993720449,1.0116222292809023,0.9845296089633251,1.0007460919426108
2008-05-28,0.9958507173094452,1.0024546683026476,1.0044184751937082,1.0271594501131243,1.0099455949438076,1.0038293702758552,1.0081505569652853,1.0087360486540424,0.9774929683537098,1.0021175669338256
2008-05-29,1.0049203349990827,1.0086281151222014,1.0198200702846005,1.0465113174931242,1.0143777710962367,1.0084102716154602,1.0124559197078804,1.0106409316066012,0.969148117756368,1.001504320514024
2008-05-30,1.0226221749613247,1.0113852391034006,1.0295607169312795,1.056206557411846,1.018664846767092,1.0123955818233175,1.0181412331389859,1.0092848187852925,0.9564286122140545,1.0019881636929107
2008-06-02,1.0238656525160157,1.0140743133507235,1.03576068549331,1.0729945118461826,1.0230293137689999,1.0174948655930547,1.022878417064443,1.0062138569549202,0.9488896335484333,1.0025856740327355
2008-06-03,1.0066518720530495,1.0124113297730915,1.0400847322351878,1.1122064825919609,1.0312061537157762,1.0211522025726083,1.0254751572852674,1.000138657154929,0.9384402435647319,1.0048969293642185
2008-06-04,0.9978797960390378,1.0080550098292633,1.055184168291897,1.14359545516475,1.0377662606823232,1.0263027432499232,1.0284154380395527,0.9977879754263789,0.9373852407890384,1.007669256407557
2008-06-05,0.9870455588448792,1.0030156509850912,1.0672513987020262,1.1832178664317279,1.0446842823510387,1.0289065169489569,1.0298686034683648,0.9947687922723342,0.9327828700930012,1.010422036968746
2008-06-06,0.9910282676991005,0.9920797318935273,1.0927242928436476,1.2299192244473478,1.0492707614857586,1.0290209485841997,1.0323061663164077,0.9889861743565537,0.9186613901160177,1.0131337032255294
2008-06-09,0.9839440726404898,0.9885165109224789,1.1055879332016068,1.2655600285060291,1.0566552879236246,1.0296117094922221,1.0345703234958694,0.9883278898761795,0.9288975352780268,1.0157287287065033
2008-06-10,0.9820324891084687,0.9801873263512513,1.1147687679886642,1.2977151306944221,1.0635821849468763,1.0307664849210532,1.0361051178807679,0.9877723572843332,0.9290142490411756,1.018549448943464
2008-06-11,0.9472451853562373,0.9745626644959791,1.140444213333685,1.321387656508798,1.0713884287486186,1.0379184826791412,1.0353948557806514,1.0068342865188047,0.9477594426958015,1.0191741307257303
2008-06-12,0.9401996122891026,0.956637309304096,1.146016614131616,1.357724147330124,1.0786268900063714,1.0402647933172258,1.037175359199331,1.0077149514100348,0.9673244030506226,1.02345438724197
2008-06-13,0.9308574277609855,0.953120854539364,1.1670561038422131,1.3727584203372833,1.0844409811844034,1.0453936061449796,1.0405367275511992,1.0134563141355355,0.9668151147994047,1.0261624883552367
2008-06-16,0.9351190177957099,0.9529114538739263,1.1872302345010994,1.3851636464477584,1.0899703083608185,1.048140481952835,1.0456910031759274,1.0266704401649953,0.9873344541107445,1.0274387661333115
2008-06-17,0.9282561816642962,0.9511878831614334,1.2000498265415982,1.4037099963800515,1.094464879144367,1.0503230380370092,1.0507551739412837,1.037627529957796,0.9912794788032202,1.0279268836275852
2008-06-18,0.9115619079921276,0.9443875215584745,1.213874560111849,1.4252738722747658,1.1021300581914326,1.0581824097189452,1.0523428906896415,1.0478052837610028,1.0023321099818738,1.0301572626606588
2008-06-19,0.8916599605821918,0.9369825301159662,1.2177720717235276,1.436538288726889,1.1092542020466407,1.0612527459266876,1.057359205308415,1.061278607464986,1.0040903711208666,1.0344712641993707
2008-06-20,0.8806603324867542,0.9294885339441386,1.2504696263625548,1.4817768778745586,1.114532374919118,1.062511328117544,1.0588971868251245,1.074192416797775,1.0040847081198865,1.036698816676721
2008-06-23,0.8521534467922092,0.9260461742462974,1.2528662389805854,1.4994953300985052,1.1235189378160566,1.0712849006938048,1.0620517980594304,1.0989015920877174,1.0293073811152185,1.0406516157213659
2008-06-24,0.8676968365053932,0.9225897401891354,1.2657490650330114,1.5234662029545394,1.1295948228167156,1.0700492560613597,1.068380404932129,1.1100938834290206,1.0241595719843626,1.0433780189329616
2008-06-25,0.8481698551428128,0.9162209204225555,1.280615542358884,1.5556660421083395,1.1355979285480156,1.0760029481201165,1.07079155352687,1.1313172911452265,1.0361754639798706,1.044879033320214
2008-06-26,0.8451039214066492,0.9141645742357383,1.2892278991317627,1.5657748618170662,1.1423247776512273,1.078834682068799,1.0790981528298584,1.161864135557058,1.0407346938113102,1.046925430643087
2008-06-27,0.8250689061075125,0.9026215660809367,1.3153055068197381,1.5970295149520684,1.1511283131173218,1.0883815411699156,1.07804055981986,1.1714930049193248,1.0400249853157484,1.0489378312374185
2008-06-30,0.8294466030171286,0.8930949774500838,1.3380663023207897,1.6542698548348567,1.1578817019891037,1.09387025540905,1.0809578788839107,1.2058408268506926,1.0477144337093642,1.0477987944790208
2008-07-01,0.8212732836193128,0.8863517770070631,1.3515345292213259,1.6781671729315017,1.1649129935403073,1.0990759846232703,1.0851329255179316,1.229029327635986,1.037366280275139,1.0500535071436132
2008-07-02,0.8292298292007961,0.885670954522129,1.354122027289666,1.7080507430898446,1.1698533156657458,1.1077463026855447,1.0896658049561572,1.2418191560823233,1.0213576322285534,1.0524578611725646
2008-07-03,0.84281125562957,0.8941309468348556,1.360717719447421,1.7187900264865226,1.1740341483876398,1.1174319103435335,1.0957029757157415,1.2630642007902613,0.9832733598068037,1.0545535990689316
2008-07-07,0.8387654980730668,0.8895089063880699,1.363658061020197,1.7431377441764002,1.1784041759141406,1.1250016624523314,1.1012059289666802,1.273737808955239,0.9620209110914106,1.0570861564391463
2008-07-08,0.8393476813545895,0.8877739440694132,1.3629034612430844,1.7663471625632494,1.182905580622184,1.1338282722927295,1.1048378746884016,1.292018872212813,0.9475504730504255,1.0594960603214245
2008-07-09,0.8456825848052234,0.8835342634282222,1.3666742960470684,1.7849245669404619,1.1870241090282745,1.1423245258059185,1.1103638325421321,1.3116281329030604,0.9417953273054263,1.061123982230015
2008-07-10,0.8496409036985414,0.8762504146921364,1.3657203422800808,1.804174183717837,1.1912713704385238,1.1516552266824085,1.114234404014394,1.3324505685444954,0.9390188620966853,1.0636961134697582
2008-07-11,0.850245504592115,0.8690858321469235,1.3656284546877275,1.825495438105267,1.1959034419831227,1.1578105070145175,1.119079337503023,1.3494937024655067,0.9289757524379176,1.0658241741001644
2008-07-14,0.8504689218863889,0.8612845369178046,1.3598397157408333,1.8412644207323523,1.2008226705753913,1.1628226689154508,1.124344941366911,1.3586629594827584,0.9171924199479292,1.0693704711339558
2008-07-15,0.8578616517537947,0.8572898674451053,1.3645598099671599,1.8652246648831825,1.2055318133387605,1.1672833642173055,1.128865381967896,1.376274298337099,0.9057390329563553,1.0717014634841724
