date,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
2008-05-23,-0.03543611883401174,-0.0037749894121061355,-0.0552298834256522,0.028293037664369705,0.04278213882983332,0.04118348454245524,-0.009587640213186787,0.025915551534965754,0.018555062049375595,-0.03021386621356002
2008-05-27,-0.06541651378094848,0.011767825852484084,-0.09311417633119419,0.03128875267084153,0.07153789679308833,0.10479005048123317,-0.01427667848919201,0.06286405396674491,0.05707451651387728,-0.05322289727348306
2008-05-28,-0.0792843803173089,0.012974800912603779,-0.138952716133822,0.0390936531366643,0.11133827424860726,0.15353826415355676,-0.01687223827923373,0.11617392230845584,0.08858406482706942,-0.07588525650284536
2008-05-29,-0.10357260120134494,0.0063597793749976695,-0.18654812455056974,0.06272402667856887,0.16544270747184414,0.21311476681039804,-0.024901906246985517,0.1658211668565327,0.12826778641645747,-0.1109583443456679
2008-05-30,-0.11171885314789365,0.02520384267961337,-0.23153274197050322,0.07450591991978839,0.20450322168449125,0.25634387223192256,-0.030550550560800114,0.21874083431812802,0.15922925166980495,-0.14184682815551897
2008-06-02,-0.12173261154117251,0.0379828956508863,-0.279910054365179,0.0995873173852247,0.2501906596243493,0.269852225863673,-0.032932687288518045,0.24460636787732865,0.16788013424948697,-0.16586987051390795
2008-06-03,-0.1386644212648056,0.04376436611438752,-0.3165566664722066,0.1250182572860543,0.2961652544453074,0.30676466393284174,-0.04189129848333139,0.290270243140032,0.19856331300689956,-0.19118919433737558
2008-06-04,-0.16630096655448434,0.04828229496057457,-0.3496088309248778,0.14543557982031302,0.34342253304548775,0.340184970304482,-0.05467613872342254,0.33113922847258537,0.2295664597108518,-0.21879877998993386
2008-06-05,-0.20293632824168187,0.0387239836189104,-0.3578098018878025,0.15760967045352559,0.40048416261888065,0.39978347053149355,-0.08687211249069868,0.37712348342326263,0.29050447206595176,-0.24628285320983093
2008-06-06,-0.2344923167325037,0.06137030718497147,-0.4152646583180915,0.21688352985786202,0.45510587501179023,0.3962689656611802,-0.07259127970446341,0.4193780315720069,0.26562505543586007,-0.2632221527784288
2008-06-09,-0.2648069542497322,0.0761961024492423,-0.4669501562674715,0.2409858395578211,0.4957865201298465,0.44763284054416036,-0.09306795635410114,0.4413788655907412,0.2955938202165602,-0.29563047094248385
2008-06-10,-0.273989173256031,0.06485240647463106,-0.4877184795710504,0.257009541968372,0.5107992675325063,0.49041562046627885,-0.0985345364108834,0.45580657184938067,0.34914718628378294,-0.30600052555481405
